lam,eq_min,ma_filter,yc_bonds,is_sharpe,is_cagr,is_maxdd,is_excess,oos_sharpe,oos_cagr,oos_maxdd,oos_excess
10,0.4,True,False,0.3705131388953054,0.0400065227790945,-0.1826865978860538,-0.04742416367982323,0.3652353135041549,0.048012702050220214,-0.3043822596346947,-0.04569878885449611
25,0.4,True,False,0.43704583177748335,0.04553890184229085,-0.1741614046814426,-0.04189178461662688,0.3650984747738154,0.04802572950724931,-0.3043822596346947,-0.045685761397467016
5,0.5,True,False,0.3938452999591391,0.04316438451433773,-0.18014040592353164,-0.04426630194458,0.3781808438498332,0.05028434840374958,-0.3043822596346947,-0.04342714250096674
10,0.5,True,False,0.3925497580025415,0.04305516421375654,-0.1817033583833697,-0.04437552224516119,0.3764735012596959,0.05016241161839175,-0.3043822596346947,-0.04354907928632457
25,0.5,True,False,0.44470969418003276,0.0474406947697717,-0.1765649397759118,-0.03998999168914603,0.3763669200867576,0.05017218221116357,-0.3043822596346947,-0.043539308693552756
5,0.3,False,True,0.4904404550179064,0.05328048993450833,-0.16391570615283346,-0.0341501965244094,0.32543856039433616,0.040784497911912646,-0.3043822596346947,-0.05292699299280368
10,0.3,False,True,0.4522596626666179,0.04909925187212398,-0.18021246981427763,-0.03833143458679375,0.28071318750334523,0.035303363358072,-0.3043822596346947,-0.058408127546644324
25,0.3,False,True,0.6185751309657088,0.06332969957539264,-0.1298017792499534,-0.02410098688352509,0.28059829181843093,0.03531964767935836,-0.3043822596346947,-0.05839184322535797
5,0.4,False,True,0.5059903120913396,0.05435321629714023,-0.1639157061528328,-0.0330774701617775,0.3635754617966199,0.04624953735261269,-0.3043822596346947,-0.047461953552103635
10,0.4,False,True,0.47250764849843463,0.05079411505882631,-0.17952410022275211,-0.03663657140009142,0.3253251086882566,0.041602531279885,-0.3043822596346947,-0.05210895962483132
25,0.4,False,True,0.6162898312631396,0.06274232292254293,-0.1315429803366387,-0.024688363536374797,0.3252048985957609,0.041615558736914096,-0.3043822596346947,-0.05209593216780223
5,0.5,False,True,0.5108211258202083,0.05496570554289999,-0.16391570615283346,-0.03246498091601774,0.3914150272191718,0.05082185072520646,-0.3043822596346947,-0.042889640179509865
10,0.5,False,True,0.4827524442081683,0.05202874112865651,-0.17895757693987713,-0.03540194533026122,0.35997239137346326,0.04700897313359176,-0.3043822596346947,-0.046702517771124566
25,0.5,False,True,0.599816883586672,0.061694709152821096,-0.14361159345645613,-0.025735977306096634,0.3598681266787798,0.04701874372636358,-0.3043822596346947,-0.04669274717835274
5,0.3,False,False,0.39671273295750153,0.041654814700783076,-0.17262659831488258,-0.045775871758134655,0.32002790176196483,0.040391700460576205,-0.3043822596346947,-0.05331979044414012
10,0.3,False,False,0.3765975091334039,0.03960339372699851,-0.18362360181477388,-0.04782729273191922,0.3008395140325347,0.038375518556852374,-0.3043822596346947,-0.05533597234786395
25,0.3,False,False,0.5106490156810379,0.05030177474363739,-0.12980177924995107,-0.03712891171528034,0.30071260770270775,0.03839180287813874,-0.3043822596346947,-0.055319688026577586
5,0.4,False,False,0.417762448509114,0.044388351811090014,-0.17334276333030574,-0.04304233464782772,0.3575237766055229,0.04577019654859739,-0.3043822596346947,-0.047941294356118935
10,0.4,False,False,0.40072822806861136,0.04265480807729019,-0.1825891726215093,-0.04477587838162754,0.34103831273146035,0.04409314989025555,-0.3043822596346947,-0.049618341014460776
25,0.4,False,False,0.5125645709072165,0.051575530209609845,-0.13154298033663925,-0.035855156249307886,0.3409113196932285,0.044106177347284635,-0.3043822596346947,-0.04960531355743169
5,0.5,False,False,0.43111222931626514,0.046661651804524806,-0.17416009876684013,-0.040769034654392924,0.3785588373706122,0.04932960212867999,-0.3043822596346947,-0.044381888776036334
10,0.5,False,False,0.4173098652895706,0.045245985310709745,-0.18162945606862846,-0.042184701148207986,0.3651963937985154,0.04799169071572014,-0.3043822596346947,-0.045719800188996185
25,0.5,False,False,0.5056901439159243,0.0523890485587102,-0.14361159345645713,-0.035041637900207534,0.36509132978504033,0.04800146130849195,-0.3043822596346947,-0.045710029596224375
