lam,eq_max,eq_min,bond_mode,is_sharpe,is_cagr,is_maxdd,is_excess,oos_sharpe,oos_cagr,oos_maxdd,oos_excess
5,0.9,0.3,long,0.49715038535682776,0.05922415062500438,-0.17949803412601528,-0.028206535833913353,0.2147092416003193,0.03118756560822197,-0.3380014341465025,-0.06252392529649435
5,0.9,0.3,medium,0.37409044716387996,0.0430526975462852,-0.19231619815824053,-0.04437798891263253,0.27724919030660977,0.03826763914104843,-0.3380014341465025,-0.055443851763667895
5,0.9,0.3,short,0.2897549142297495,0.03357630009996926,-0.20196786038636394,-0.05385438635894847,0.2940128030250003,0.03970152647320779,-0.3380014341465025,-0.05400996443150853
5,0.9,0.4,long,0.5073497620837845,0.059721257470393876,-0.17949803412601584,-0.027709428988523854,0.2547851696773985,0.03698003721755426,-0.3380014341465025,-0.056731453687162064
5,0.9,0.4,medium,0.39468630153617495,0.04585778346084763,-0.19199746502530446,-0.0415729029980701,0.3124707836837911,0.043646135229069606,-0.3380014341465025,-0.05006535567564672
5,0.9,0.4,short,0.3210341217993907,0.03773340613912762,-0.2003747039174596,-0.04969728031979011,0.3282889113582854,0.04514840843257655,-0.3380014341465025,-0.04856308247213977
5,0.9,0.5,long,0.5078331648616174,0.0597300319230483,-0.17949803412601606,-0.02770065453586943,0.29282921528742717,0.04264103294285692,-0.3380014341465025,-0.051070457961859404
5,0.9,0.5,medium,0.408425056754851,0.048174536982675,-0.1917775269811829,-0.03925614947624273,0.33294520019807533,0.047205540809152194,-0.3380014341465025,-0.04650595009556413
5,0.9,0.5,short,0.3461479420072431,0.04140217978555093,-0.19884504107384393,-0.046028506673366804,0.35207068723891033,0.0494954591142857,-0.3380014341465025,-0.04421603179043063
10,0.8,0.2,long,0.4801686963302662,0.05404057605634656,-0.18102233577789795,-0.03339011040257117,0.1771335744449817,0.023811936222617607,-0.3043822596346947,-0.06989955468209871
10,0.8,0.2,medium,0.3493139814433624,0.03655197937670681,-0.18473242382247346,-0.05087870708221092,0.24343445482952378,0.030748731086622592,-0.3043822596346947,-0.06296275981809374
10,0.8,0.2,short,0.25831969652576586,0.027003445808776085,-0.18562571443943432,-0.06042724065014164,0.2816968586135157,0.03445416917520168,-0.3043822596346947,-0.059257321729514645
10,0.8,0.3,long,0.5004203758609319,0.05491735608092624,-0.18021246981427763,-0.03251333037799149,0.22332201354625922,0.029983217679833307,-0.3043822596346947,-0.06372827322488302
10,0.8,0.3,medium,0.3765975091334039,0.03960339372699851,-0.18362360181477388,-0.04782729273191922,0.3008395140325347,0.038375518556852374,-0.3043822596346947,-0.05533597234786395
10,0.8,0.3,short,0.2950125940066756,0.031245411132143536,-0.18448040055339165,-0.0561852753267742,0.32912824233376425,0.04093117575786019,-0.3043822596346947,-0.05278031514685613
10,0.8,0.4,long,0.5151519972895194,0.055794136105505925,-0.17952410022275211,-0.031636550353411806,0.2700200601447677,0.03630228558371798,-0.3043822596346947,-0.057409205320998344
10,0.8,0.4,medium,0.40072822806861136,0.04265480807729019,-0.1825891726215093,-0.04477587838162754,0.34103831273146035,0.04409314989025555,-0.3043822596346947,-0.049618341014460776
10,0.8,0.4,short,0.3292320462176497,0.03548737645551098,-0.1833881385388898,-0.051943310003406754,0.36687975952373914,0.04655694012420403,-0.3043822596346947,-0.0471545507805123
10,0.8,0.5,long,0.5191783505089081,0.05621067901321348,-0.17895757693987713,-0.031220007445704252,0.31449080549484054,0.04248987760357299,-0.3043822596346947,-0.05122161330114333
10,0.8,0.5,medium,0.4173098652895706,0.045245985310709745,-0.18162945606862846,-0.042184701148207986,0.3651963937985154,0.04799169071572014,-0.3043822596346947,-0.045719800188996185
10,0.8,0.5,short,0.3562132581690404,0.03921324148026827,-0.18234916894803588,-0.04821744497864946,0.3929746983794034,0.05108287321288825,-0.3043822596346947,-0.042628617691828075
10,0.9,0.2,long,0.45486196147498986,0.055484765908014794,-0.1988272622420959,-0.03194592055090294,0.14633257565515864,0.021349566539932665,-0.3380014341465025,-0.07236192436478366
10,0.9,0.2,medium,0.33151609200457194,0.03804193026534693,-0.20245669137777067,-0.049388756193570804,0.20430013151680784,0.02828636140393766,-0.3380014341465025,-0.06542512950077867
